response,context1,context2,context3,context4,context5,context6,context7
There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!, What is it?,"No, Ron! No!","Once I make my move, the Queen will take me...then you'll be free to check the King.","You understand right, Harry. ",Wait a minute.
Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!, What is it?,"No, Ron! No!","Once I make my move, the Queen will take me...then you'll be free to check the King.","You understand right, Harry. "
"Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!, What is it?,"No, Ron! No!","Once I make my move, the Queen will take me...then you'll be free to check the King."
"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!, What is it?,"No, Ron! No!"
Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!, What is it?
Check.,Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!",He's going to sacrifice himself!
Ahhhh!,Check.,Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!,"No, Ron, you can't!"
RON! ,Ahhhh!,Check.,Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?,There must be another way!
"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!,Check.,Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. ",Do you want to stop Snape from getting that Stone or not?
Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!,Check.,Knight...to H-3.,"Not me, not Hermione, you. ","Harry, it's you that has to go on. I know it. "
"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!,Check.,Knight...to H-3.,"Not me, not Hermione, you. "
Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!,Check.,Knight...to H-3.
Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!,Check.
"You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! ,Ahhhh!
"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. ",RON! 
Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. ,"NO! Don't move! Dont forget, we're still playing. "
Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. ",Checkmate. 
There are more important things. ,Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. ,"Take care of Ron. Then, go to the owlery. "
"Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.,Send a message to Dumbledore. 
"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. ",Ron's right...I have to go on.
You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are.","You'll be okay, Harry. "
"Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? ,Not as good as you.,"You're a great wizard, you really are."
"""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? ,Not as good as you.
"B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. ,Me? Books and cleverness? 
"No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. ",There are more important things. 
"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful.","Friendship, and bravery. "
Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one,"And Harry, just be careful."
Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? ",You? No. It can't be...Snape. He was the one
I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?""""""","Yes. He does seem the type, doesn't he? "
Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me.","""Next to him, who would suspect, """"p-p-poor s-stuttering Professor Quirrell?"""""""
Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! ","B-but, that day, during the Quidditch Match, Snape tried to kill me."
"Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. ","No, dear boy. I tried to kill you! "
"Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.,"And trust me, if Snape's cloak hadn't caught fire and broken my eye contact, I would have succeeded. "
"While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?,Even with Snape muttering his little counter-curse.
"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. ,Snape was trying to...save me?
He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.,I knew you were a danger right from the off. 
But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.,Especially after Halloween.
I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. ",Th-then you let the troll in.
Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. ","Very good Potter, yes. "
I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. ","Snape, unfortunately, wasn't fooled. "
I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again.","While everyone else was running to the dungeon, he went to the 3rd floor to head me off. "
But how do I get it?,I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. ,"He, of course, never trusted me again."
Use the boy,But how do I get it?,I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. ,He rarely left me alone. 
"Come here, Potter, now!",Use the boy,But how do I get it?,I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. ,But he doesn't understand. 
Tell me. What do you see?,"Come here, Potter, now!",Use the boy,But how do I get it?,I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? ,I'm never alone. Never. 
What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!",Use the boy,But how do I get it?,I see myself holding the stone. ,I see what I desire. ,Now...what does this mirror do? 
I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!",Use the boy,But how do I get it?,I see myself holding the stone. ,I see what I desire. 
I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!",Use the boy,But how do I get it?,I see myself holding the stone. 
He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!",Use the boy,But how do I get it?
Tell the truth! What do you see?!,He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!",Use the boy
Let me speak to him.,Tell the truth! What do you see?!,He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?,"Come here, Potter, now!"
"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!,He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!,Tell me. What do you see?
I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!,He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. ,What is it?! What do you see?!
Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!,He lies.,I've won the house cup.,I-I'm shaking hands with Dumbledore. 
Voldemort.,Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!,He lies.,I've won the house cup.
Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!,He lies.
See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.,Tell the truth! What do you see?!
Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough.",Let me speak to him.
"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.,I have strength enough for this. ,"Master, you are not strong enough."
But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.,I have strength enough for this. 
"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.,Harry Potter. We meet again.
Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? ,Voldemort.
Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? ,Yes. You see what I have become? 
Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. ,See what I must do to survive? 
Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. ",Live off another. A mere parasite. 
Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. ,"Unicorn blood can sustain me, but it cannot give me a body of my own. "
"Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!",But there is something that can. 
"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! ,"Something, that conveniently enough, lies in your pocket!"
All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! ,Stop him! 
"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!,Don't be a fool! 
There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!,Why suffer a horrific death when you can join me and live?!
"There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. ,Never!
"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? ",Haha. Bravery. Your parents had it too. 
Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. ","Tell me, Harry, would you like to see your mother and father again? "
You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. ,"Together, we can bring them back. "
Kill him!,You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. ",All I ask for is something in return. 
Ahh! Ahh! What is this magic?,Kill him!,You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. ,"That's it, Harry. "
Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!,You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. ",There is no good and evil. 
Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!,You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. ","There is only power, and those too weak to seek it. "
Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!,You liar!,Just give me the stone! ,"Together, we'll do extraordinary things. "
Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!,You liar!,Just give me the stone! 
"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!,You liar!
Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?,Kill him!
Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!,Ahh! Ahh! What is this magic?
"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!,Fool! Get the stone!
"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!,Ahhhhhhhhhh!
Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!,Arrrhhhhhh!
Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. ",Ahhhhhhhhh!
What about Hermione?,Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?,"Good afternoon, Harry. "
Fine. They're both just fine.,What about Hermione?,Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?,Ah. Tokens from your admirers?
"But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?,Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. ",Admirers?
"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?,Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs.","What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. "
My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?,Is he all right? ,Ron was here? ,"Ah, I see your friend Ronald has saved you the trouble of opening your Chocolate Frogs."
"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?,Is he all right? ,Ron was here? 
He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?,Is he all right? 
"But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.,What about Hermione?
"How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?",Fine. They're both just fine.
"One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. ","But, what happened to the Stone?"
"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.,"Relax, dear boy. The stone has been destroyed. "
That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?",My friend Nicholas and I had a little chat and agreed it was best all around.
And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. ,"But Flamel, he'll die, won't he?"
"Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die.",He has enough Elixir to set his affairs in order. 
"Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? ","But yes, he will die."
"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next...","How is it I got the Stone, sir? "
It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. ","One minute I was staring in the mirror, and the next..."
"She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. ,"Ah. You see, only a person who wanted to find the Stone, find it, but not use it, would be able to get it. "
"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.,That is one of my more brilliant ideas. 
It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?",And between you and me thats saying something.
What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. ","Does that mean, with the Stone gone, I mean, that Voldemort can never come back?"
"Love, Harry, love. ",What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?","Ah, I'm afraid there are ways in which he can return. "
Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. ,"Harry, do you know why Professor Quirrell couldn't bear to have you touch him?"
"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. ",It was because of your mother. 
But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen.","She sacrificed herself for you, and that kind of act leaves a mark. "
Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?,It lives in your very skin.,"No, no, this kind of mark cannot be seen."
"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?,It lives in your very skin.
All right? You?,"All right there, Ron?",Mm. Alas. Earwax.,But I think I could be safe with a nice toffee...,"I was most unfortunate in my youth to come across a vomit flavoured one, and since then I have lost my liking for them. ",Ah. Bertie Bott's Every Flavour Beans. ,"Love, Harry, love. ",What is it?
